first_name,last_name,team,league,nationality,position,shirt,dob,age,skill_avg
Dirk,de Wit,Fortuna Köln,German Bundesliga 2,German,LM,13,1971-06-09,25,49.08
Rene,Hahn,Fortuna Köln,German Bundesliga 2,German,CD,15,1975-08-01,20,48.33
Jacob,Svinggaard,Fortuna Köln,German Bundesliga 2,Danish,FOR,31,1967-09-27,28,52.04
Matthias,Mink,Fortuna Köln,German Bundesliga 2,German,CD,18,1967-07-31,28,50.04
Thomas,Brdaric,Fortuna Köln,German Bundesliga 2,German,FOR,11,1975-01-23,21,51.71
Wolfgang,Wiesner,Fortuna Köln,German Bundesliga 2,German,GK,29,1967-02-20,29,44.83
Charles Kwablan,Akonnor,Fortuna Köln,German Bundesliga 2,Ghanian,RM,10,1974-03-12,22,48.92
Olaf,Renn,Fortuna Köln,German Bundesliga 2,German,DM,22,1969-10-12,26,47.33
Nico,Niedziella,Fortuna Köln,German Bundesliga 2,German,LB,5,1970-05-31,26,45.96
Alfons,Higl,Fortuna Köln,German Bundesliga 2,German,RB,2,1964-12-17,31,47.79
Markus,Kranz,Fortuna Köln,German Bundesliga 2,German,DM,24,1969-08-04,26,47.0
Christoph,Dengel,Fortuna Köln,German Bundesliga 2,German,FOR,16,1974-01-20,22,50.67
Christian,Pförtner,Fortuna Köln,German Bundesliga 2,German,DM,21,1966-03-03,30,46.5
Rainer,Krieg,Fortuna Köln,German Bundesliga 2,German,DM,9,1968-02-02,28,45.54
Marco,Zernicke,Fortuna Köln,German Bundesliga 2,German,DM,3,1969-12-05,26,50.71
Hansjörg,Schneider,Fortuna Köln,German Bundesliga 2,German,RB,17,1966-01-22,30,49.08
Michael,Hartmann,Hertha BSC,German Bundesliga 2,German,RM,9,1974-07-11,22,48.42
Manuel,Greil,Hertha BSC,German Bundesliga 2,German,GK,1,1974-08-05,21,48.88
Dirk,Bremser,Hertha BSC,German Bundesliga 2,German,DM,8,1965-10-01,30,47.12
Marcel,Rath,Hertha BSC,German Bundesliga 2,German,FOR,12,1975-09-03,20,50.67
Hasan,Vural,Hertha BSC,German Bundesliga 2,German,LB,16,1973-12-17,22,47.79
Falko,Götz,Hertha BSC,German Bundesliga 2,German,CD,6,1962-03-26,34,48.92
Axel,Kruse,Hertha BSC,German Bundesliga 2,German,FOR,11,1967-09-28,28,53.0
Gunnar,Sauer,Hertha BSC,German Bundesliga 2,German,CD,5,1964-06-11,32,47.83
Michel,Dinzey,Hertha BSC,German Bundesliga 2,German,DM,7,1972-10-15,23,50.12
Oliver,Schmidt,Hertha BSC,German Bundesliga 2,German,RB,2,1973-09-14,22,49.25
Sixten,Veit,Hertha BSC,German Bundesliga 2,German,LM,20,1970-01-07,26,46.42
Jens,Adler,Hertha BSC,German Bundesliga 2,German,GK,13,1965-04-25,31,44.96
Steffen,Karl,Hertha BSC,German Bundesliga 2,German,DM,17,1970-02-03,26,50.75
Marc,Arnold,Hertha BSC,German Bundesliga 2,German,FOR,25,1970-09-19,25,48.21
Ante,Covic,Hertha BSC,German Bundesliga 2,Croatian,FOR,21,1975-08-31,20,45.67
Michael,Praetz,Hertha BSC,German Bundesliga 2,German,FOR,22,1967-08-17,28,52.21
Christian,Fiedler,Hertha BSC,German Bundesliga 2,German,GK,15,1975-03-27,21,49.42
Eyjolfur,Sverrison,Hertha BSC,German Bundesliga 2,Icelandic,CD,18,1968-08-03,27,43.79
Andreas,Schmidt,Hertha BSC,German Bundesliga 2,German,DM,26,1973-09-14,22,57.58
Christian,Fährmann,Hertha BSC,German Bundesliga 2,German,DM,19,1975-10-05,20,48.83
Altin,Rraklli,Hertha BSC,German Bundesliga 2,Albanian,FOR,14,1970-07-17,26,47.42
Carsten,Kober,Hertha BSC,German Bundesliga 2,German,CD,4,1967-10-11,28,46.5
Gunnar,Grundmann,VfB Leipzig,German Bundesliga 2,German,GK,1,1973-11-01,22,46.88
Mathias,Lindner,VfB Leipzig,German Bundesliga 2,German,CD,5,1965-10-05,30,49.38
Holm,Pinder,VfB Leipzig,German Bundesliga 2,German,DM,3,1971-03-21,25,49.75
Marco,Förster,VfB Leipzig,German Bundesliga 2,German,RB,2,1976-04-23,20,48.92
Franklin,Bittencourt,VfB Leipzig,German Bundesliga 2,Brazilian,LW,9,1969-02-24,27,52.96
Henri,Fuchs,VfB Leipzig,German Bundesliga 2,German,FOR,11,1970-06-23,26,52.79
Markus,Wuckel,VfB Leipzig,German Bundesliga 2,German,FOR,12,1967-04-05,29,54.83
Markus,Wulftange,VfB Leipzig,German Bundesliga 2,German,DM,7,1967-02-11,29,49.62
Detlef,Schößler,VfB Leipzig,German Bundesliga 2,German,CD,4,1963-10-03,32,46.5
Ronald,Werner,VfB Leipzig,German Bundesliga 2,German,LB,14,1963-09-18,32,48.67
Florian,Weichert,VfB Leipzig,German Bundesliga 2,German,RW,8,1968-01-28,28,52.62
Maik,Kischko,VfB Leipzig,German Bundesliga 2,German,GK,13,1966-07-07,30,46.29
Nico,Däbritz,VfB Leipzig,German Bundesliga 2,German,RM,18,1971-08-26,24,47.96
Guido,Hoffmann,VfB Leipzig,German Bundesliga 2,German,DM,16,1965-12-20,30,45.88
Mark,Kunze,VfB Leipzig,German Bundesliga 2,German,FOR,26,1971-01-12,25,55.62
Ronny,Kujat,VfB Leipzig,German Bundesliga 2,German,FOR,22,1974-08-05,21,51.17
Frank,Edmond,VfB Leipzig,German Bundesliga 2,German,CD,15,1966-12-23,29,47.75
Steffen,Heidrich,VfB Leipzig,German Bundesliga 2,German,RM,19,1967-07-19,29,44.83
Torsten,Jülich,VfB Leipzig,German Bundesliga 2,German,DM,17,1974-12-01,21,46.08
Daniel,Hoffmann,VfB Leipzig,German Bundesliga 2,German,GK,23,1971-10-27,24,52.5
Kujtim,Shala,VfB Leipzig,German Bundesliga 2,Yugoslavian,DM,10,1964-07-13,32,45.67
Axel,Wittke,VfB Leipzig,German Bundesliga 2,German,LM,21,1960-03-25,36,49.42
Rene,Schmidt,VfB Leipzig,German Bundesliga 2,German,LM,20,1974-10-30,21,48.5
Thomas,Möller,VfB Lübeck,German Bundesliga 2,German,SW,5,1967-07-12,29,54.71
Christof,Hetmanski,VfB Lübeck,German Bundesliga 2,German,RM,8,1965-07-15,31,49.42
Lars,Kindgen,VfB Lübeck,German Bundesliga 2,German,DM,6,1971-11-25,24,46.96
Jürgen,Oelbeck,VfB Lübeck,German Bundesliga 2,German,DM,7,1971-01-10,25,50.88
Michael,Koch,VfB Lübeck,German Bundesliga 2,German,FOR,10,1969-09-27,26,52.33
Holger,Behnert,VfB Lübeck,German Bundesliga 2,German,LB,3,1964-10-31,31,45.46
Romas,Mazeikis,VfB Lübeck,German Bundesliga 2,Lithuanian,RB,2,1964-04-28,32,48.62
Michael,Schön,VfB Lübeck,German Bundesliga 2,German,CD,4,1974-11-04,21,49.71
Thomas,Richter,VfB Lübeck,German Bundesliga 2,German,GK,1,1962-02-27,34,46.46
Felix,van der Stehen,VfB Lübeck,German Bundesliga 2,Dutch,LM,18,1967-04-02,29,48.58
Lutz,Schwerinski,VfB Lübeck,German Bundesliga 2,German,FOR,11,1966-02-18,30,52.75
Markus,Aerdken,VfB Lübeck,German Bundesliga 2,German,FOR,19,1971-12-05,24,52.17
Henrik,Larsen,VfB Lübeck,German Bundesliga 2,Danish,DM,16,1966-05-17,30,49.88
Sven,Schmidtke,VfB Lübeck,German Bundesliga 2,German,GK,12,1975-02-01,21,42.79
Torben,Hoffmann,VfB Lübeck,German Bundesliga 2,German,DM,15,1974-10-27,21,46.25
Torsten,Grummer,VfB Lübeck,German Bundesliga 2,German,CD,21,1965-09-19,30,47.08
Daniel,Jungeleit,VfB Lübeck,German Bundesliga 2,German,FOR,17,1963-12-15,32,46.54
Andre,Golke,VfB Lübeck,German Bundesliga 2,German,FOR,9,1964-08-15,31,47.62
Jorn,Schwinkendorf,VfB Lübeck,German Bundesliga 2,German,CD,14,1971-01-27,25,48.62
Stefan,Siedschlag,VfB Lübeck,German Bundesliga 2,German,FOR,22,1977-06-08,19,51.75
Andreas,Winkler,VfB Lübeck,German Bundesliga 2,German,FOR,20,1969-12-01,26,49.83
Maik,Wilde,VfB Lübeck,German Bundesliga 2,German,GK,13,1972-08-14,23,40.67
Yasmin,Jankovic,1. FSV Mainz 05,German Bundesliga 2,Bosnian,DM,8,1973-09-27,22,46.92
Christian,Hock,1. FSV Mainz 05,German Bundesliga 2,German,DM,9,1970-04-11,26,46.67
Peter,Neustädter,1. FSV Mainz 05,German Bundesliga 2,German,CD,4,1966-02-16,30,48.08
Gerd,Heumann,1. FSV Mainz 05,German Bundesliga 2,German,FOR,11,1973-09-19,22,50.0
Marco,Grevelhörster,1. FSV Mainz 05,German Bundesliga 2,German,FOR,10,1970-04-26,26,51.0
Michael,Thomas,1. FSV Mainz 05,German Bundesliga 2,German,CD,5,1972-02-17,24,46.83
Hendrik,Weiß,1. FSV Mainz 05,German Bundesliga 2,German,RB,2,1965-07-31,30,49.08
Stephan,Kuhnert,1. FSV Mainz 05,German Bundesliga 2,German,GK,1,1960-09-07,35,44.71
Helmut,Gabriel,1. FSV Mainz 05,German Bundesliga 2,German,CD,6,1968-10-03,27,47.46
Lars,Schmidt,1. FSV Mainz 05,German Bundesliga 2,German,DM,7,1965-09-13,30,47.5
Uwe,Stöver,1. FSV Mainz 05,German Bundesliga 2,German,LB,15,1967-02-08,29,47.04
Torsten,Lieberknecht,1. FSV Mainz 05,German Bundesliga 2,German,LM,22,1973-08-01,22,48.62
Mike,Janz,1. FSV Mainz 05,German Bundesliga 2,German,DM,18,1967-09-02,28,46.25
Dimo,Wache,1. FSV Mainz 05,German Bundesliga 2,German,GK,14,1973-11-01,22,47.29
Abderrahim,Ouakili,1. FSV Mainz 05,German Bundesliga 2,Moroccan,RM,20,1970-12-12,25,44.96
Jürgen,Klopp,1. FSV Mainz 05,German Bundesliga 2,German,RB,21,1967-06-16,29,47.67
Markus,Kreuz,1. FSV Mainz 05,German Bundesliga 2,German,DM,19,1977-04-29,19,46.62
Bruno,Akrapovic,1. FSV Mainz 05,German Bundesliga 2,Croatian,DM,3,1967-09-26,28,48.12
Sven,Demandt,1. FSV Mainz 05,German Bundesliga 2,German,FOR,24,1965-02-13,31,49.12
Steffen,Herzberger,1. FSV Mainz 05,German Bundesliga 2,German,CD,16,1969-09-21,26,46.5
Adrian,Spyrka,1. FSV Mainz 05,German Bundesliga 2,German,CD,17,1967-08-01,28,48.08
Stipan,Jakic,1. FSV Mainz 05,German Bundesliga 2,Croatian,FOR,23,1978-05-03,18,49.12
Guido,Erhard,1. FSV Mainz 05,German Bundesliga 2,German,FOR,13,1969-10-06,26,48.08
Carsten,Marell,SV Meppen,German Bundesliga 2,German,DM,7,1970-09-08,25,46.0
Bernd,Deters,SV Meppen,German Bundesliga 2,German,CD,5,1961-08-18,34,47.21
Karsten,Imort,SV Meppen,German Bundesliga 2,German,CD,4,1979-07-07,17,46.29
Andreas,Helmer,SV Meppen,German Bundesliga 2,German,DM,6,1966-02-25,30,47.67
Thomas,Kluge,SV Meppen,German Bundesliga 2,German,RB,2,1966-06-16,30,48.62
Damir,Bujan,SV Meppen,German Bundesliga 2,Croatian,FOR,11,1966-03-29,30,50.08
Jürgen,Kremer,SV Meppen,German Bundesliga 2,German,GK,1,1976-01-11,20,45.92
Thomas,Böttche,SV Meppen,German Bundesliga 2,German,LB,3,1965-02-14,31,47.96
Alexander,Ukrow,SV Meppen,German Bundesliga 2,German,FOR,10,1970-12-07,25,51.33
Zbigniew,Szewczyk,SV Meppen,German Bundesliga 2,Polish,RM,18,1967-11-29,28,47.58
Manfred,Schulte,SV Meppen,German Bundesliga 2,German,LM,8,1966-09-26,29,47.04
Stefan,Brasas,SV Meppen,German Bundesliga 2,German,GK,12,1967-08-31,28,46.33
Lamin,Conteh,SV Meppen,German Bundesliga 2,Sierra Leonean,DM,16,1976-01-17,20,46.92
Bernd,Winter,SV Meppen,German Bundesliga 2,German,LW,20,1971-07-24,25,48.08
Stefan,Hülswitt,SV Meppen,German Bundesliga 2,German,GK,13,1970-08-13,25,46.42
Marko,Myyry,SV Meppen,German Bundesliga 2,Finnish,LM,19,1967-11-15,28,45.08
Mario,Lau,SV Meppen,German Bundesliga 2,German,FOR,22,1972-08-06,23,49.42
Markus,von Arhlen,SV Meppen,German Bundesliga 2,German,DM,15,1971-01-01,25,45.25
Holger,Wehlage,SV Meppen,German Bundesliga 2,German,FOR,23,1976-07-03,20,48.75
Sebastian,Röttger,SV Meppen,German Bundesliga 2,German,DM,17,1976-11-02,19,47.08
Christian,Claaßen,SV Meppen,German Bundesliga 2,German,FOR,21,1969-05-22,27,52.21
Michael,Prus,SV Meppen,German Bundesliga 2,German,CD,24,1968-02-04,28,48.33
Eckhard,Vorholt,SV Meppen,German Bundesliga 2,German,LB,14,1967-10-18,28,47.62
Robert,Thoben,SV Meppen,German Bundesliga 2,German,FOR,9,1963-11-17,32,52.71
Ralf,Bucher,Unterhaching,German Bundesliga 2,German,RB,2,1972-04-06,24,50.04
Dennis,Grassow,Unterhaching,German Bundesliga 2,German,LB,3,1971-10-10,24,51.83
Stefan,Reich,Unterhaching,German Bundesliga 2,German,CD,5,1968-02-02,28,45.46
Thomas,Radlspeck,Unterhaching,German Bundesliga 2,German,FOR,11,1972-11-16,23,49.38
Björn,Hertl,Unterhaching,German Bundesliga 2,German,RM,7,1976-08-10,19,45.33
Tobias,Hager,Unterhaching,German Bundesliga 2,German,DM,9,1973-08-13,22,47.79
Christian,Simon,Unterhaching,German Bundesliga 2,German,FOR,10,1970-06-30,26,53.5
Peter,Sirch,Unterhaching,German Bundesliga 2,German,GK,1,1961-12-30,34,50.12
Stephan,Täuber,Unterhaching,German Bundesliga 2,German,LM,8,1966-10-08,29,50.25
Alexander,Strehmel,Unterhaching,German Bundesliga 2,German,CD,4,1968-03-20,28,47.83
Peter,Zeiler,Unterhaching,German Bundesliga 2,German,DM,6,1970-10-08,25,48.33
Dirk,Hofmann,Unterhaching,German Bundesliga 2,German,DM,17,1969-06-06,27,46.17
Albert,Gröber,Unterhaching,German Bundesliga 2,German,FR,20,1967-04-26,29,52.33
Jürgen,Witmann,Unterhaching,German Bundesliga 2,German,GK,12,1966-08-14,29,46.08
Alfonso,Garcia,Unterhaching,German Bundesliga 2,Spanish,FOR,22,1969-10-24,26,47.0
Jörg,Bergen,Unterhaching,German Bundesliga 2,German,DM,16,1966-06-27,30,45.25
Matthias,Lust,Unterhaching,German Bundesliga 2,German,RM,18,1970-04-27,26,45.96
Udo,Mai,Unterhaching,German Bundesliga 2,German,GK,13,1967-07-29,29,47.38
Norbert,Bartsch,Unterhaching,German Bundesliga 2,German,FOR,24,1967-05-04,29,49.29
Andreas,Hartig,Unterhaching,German Bundesliga 2,German,LM,19,1970-10-17,25,45.21
Matthias,Zimmermann,Unterhaching,German Bundesliga 2,German,DM,15,1970-09-14,25,48.54
Heinz,Sichort,Unterhaching,German Bundesliga 2,German,FOR,23,1976-12-31,19,50.96
Ivica,Vladimir,Unterhaching,German Bundesliga 2,Croatian,RB,14,1965-01-25,31,49.33
Frank,Schmöller,Unterhaching,German Bundesliga 2,German,FOR,21,1966-08-21,29,50.79
Michael,Köpper,SV. W. Mannheim,German Bundesliga 2,German,RB,5,1966-11-07,29,45.17
Mirco,Reichel,SV. W. Mannheim,German Bundesliga 2,German,DM,4,1970-12-02,25,49.46
Thomas,Epp,SV. W. Mannheim,German Bundesliga 2,German,FOR,9,1968-04-07,28,52.0
Andrzej,Kobylanski,SV. W. Mannheim,German Bundesliga 2,Polish,FOR,18,1970-07-31,25,55.04
Marco,Langner,SV. W. Mannheim,German Bundesliga 2,German,GK,1,1969-05-08,27,46.42
Jens,Gerlach,SV. W. Mannheim,German Bundesliga 2,German,LM,13,1970-07-03,26,48.88
Thomas,Faulstich,SV. W. Mannheim,German Bundesliga 2,German,CD,24,1976-03-31,20,46.25
Frank,Scheuber,SV. W. Mannheim,German Bundesliga 2,German,DM,16,1969-10-21,26,47.92
Zanko,Zvetanov,SV. W. Mannheim,German Bundesliga 2,Bulgarian,RM,20,1970-01-06,26,51.92
Manfred,Schnalke,SV. W. Mannheim,German Bundesliga 2,German,LB,3,1965-03-09,31,46.54
Andreas,Wagenhaus,SV. W. Mannheim,German Bundesliga 2,German,CD,2,1964-10-29,31,48.04
Andreas,Clauß,SV. W. Mannheim,German Bundesliga 2,German,GK,30,1969-01-13,27,44.17
Patrik,Klyk,SV. W. Mannheim,German Bundesliga 2,German,DM,23,1975-10-01,20,50.58
Bjarki,Gunnlaugsson,SV. W. Mannheim,German Bundesliga 2,Icelandic,FOR,7,1973-03-06,23,49.54
Norbert,Hofmann,SV. W. Mannheim,German Bundesliga 2,German,DM,6,1972-01-01,24,47.33
Enrico,Barth,SV. W. Mannheim,German Bundesliga 2,German,LB,17,1969-10-06,26,45.21
Matthias,Dehoust,SV. W. Mannheim,German Bundesliga 2,German,CD,14,1973-12-14,22,45.08
Uwe,Hartenberger,SV. W. Mannheim,German Bundesliga 2,German,FOR,21,1968-02-10,28,50.5
Fabrizio,Hayer,SV. W. Mannheim,German Bundesliga 2,German,RM,10,1969-05-11,27,50.58
Jürgen,Luginger,SV. W. Mannheim,German Bundesliga 2,German,RB,12,1967-12-08,28,51.25
Georgios,Karagiannis,SV. W. Mannheim,German Bundesliga 2,Greek,CD,19,1975-09-16,20,45.38
Thomas,Richter,SV. W. Mannheim,German Bundesliga 2,German,LM,34,1967-06-29,29,48.71
Alois,Schwartz,SV. W. Mannheim,German Bundesliga 2,German,DM,8,1967-03-28,29,46.12
Neils,Schlotterbeck,SV. W. Mannheim,German Bundesliga 2,German,DM,15,1967-03-12,29,48.21
Marek,Czakon,SV. W. Mannheim,German Bundesliga 2,German,FOR,11,1963-12-01,32,50.71
Soner,Uysal,SV. W. Mannheim,German Bundesliga 2,Turkish,FOR,22,1977-08-24,18,52.83
Jörg,Hoßbach,VfL Wolfsburg,German Bundesliga 2,German,GK,1,1964-11-13,31,46.54
Ulf-Volker,Probst,VfL Wolfsburg,German Bundesliga 2,German,RB,2,1964-10-03,31,50.88
Roy,Präger,VfL Wolfsburg,German Bundesliga 2,German,LM,9,1971-09-22,24,48.5
Uwe,Klein,VfL Wolfsburg,German Bundesliga 2,German,DM,6,1970-01-11,26,50.92
Peter,Kleeschätzky,VfL Wolfsburg,German Bundesliga 2,German,CD,5,1970-06-01,26,48.42
Jann,Jensen,VfL Wolfsburg,German Bundesliga 2,Danish,CD,4,1969-02-22,27,48.88
Stefan,Meissner,VfL Wolfsburg,German Bundesliga 2,German,FOR,10,1973-03-08,23,50.08
Matthias,Maucksch,VfL Wolfsburg,German Bundesliga 2,German,LB,3,1969-06-11,27,49.17
Holger,Ballwanz,VfL Wolfsburg,German Bundesliga 2,German,RM,8,1967-09-07,28,49.58
Sven,Ratke,VfL Wolfsburg,German Bundesliga 2,German,FOR,11,1972-01-03,24,53.33
Michael,Spieß,VfL Wolfsburg,German Bundesliga 2,German,DM,7,1965-07-09,31,46.08
Markus,Kullig,VfL Wolfsburg,German Bundesliga 2,German,RM,18,1974-11-04,21,48.71
Uwe,Zimmermann,VfL Wolfsburg,German Bundesliga 2,German,GK,12,1962-02-11,34,45.88
Matthias,Stammann,VfL Wolfsburg,German Bundesliga 2,German,DM,15,1968-05-08,28,52.42
Michael,Butrej,VfL Wolfsburg,German Bundesliga 2,German,AM,13,1968-06-26,28,47.79
Detlev,Dammeier,VfL Wolfsburg,German Bundesliga 2,German,DM,17,1968-10-18,27,47.5
Sead,Kapetanovic,VfL Wolfsburg,German Bundesliga 2,Bosnian,LM,19,1972-01-21,24,46.88
Chad,Deering,VfL Wolfsburg,German Bundesliga 2,American,DM,16,1970-09-02,25,48.33
Oliver,Lüttkenhaus,VfL Wolfsburg,German Bundesliga 2,German,CD,22,1971-06-28,25,47.58
Jens,Keller,VfL Wolfsburg,German Bundesliga 2,German,DM,14,1970-11-24,25,48.12
Piotr,Tyszkiewicz,VfL Wolfsburg,German Bundesliga 2,Polish,FOR,20,1970-09-04,25,52.67
Lars,Hermel,FSV Zwickau,German Bundesliga 2,German,RM,8,1970-09-28,25,51.88
Rene,Hecker,FSV Zwickau,German Bundesliga 2,German,DM,7,1967-12-07,28,49.92
Rainer,Hofmeister,FSV Zwickau,German Bundesliga 2,German,GK,1,1963-09-22,32,45.25
Jacek,Mencel,FSV Zwickau,German Bundesliga 2,Polish,FOR,11,1966-05-24,30,51.67
Andre,Barylla,FSV Zwickau,German Bundesliga 2,German,LB,3,1967-10-31,28,49.25
Sascha,Lense,FSV Zwickau,German Bundesliga 2,German,RB,13,1974-10-05,21,47.33
Danilo,Kunze,FSV Zwickau,German Bundesliga 2,German,FOR,10,1971-06-29,25,50.08
Boris,Lucic,FSV Zwickau,German Bundesliga 2,Croatian,DM,6,1967-03-07,29,50.21
Murat,Jasarevic,FSV Zwickau,German Bundesliga 2,Bosnian,CD,14,1969-03-18,27,45.58
Jan,Seifert,FSV Zwickau,German Bundesliga 2,German,CD,5,1968-10-14,27,47.5
Torsten,Viertel,FSV Zwickau,German Bundesliga 2,German,LM,9,1966-09-16,29,48.29
Sven,Günther,FSV Zwickau,German Bundesliga 2,German,RM,22,1976-02-22,20,46.79
Jörg,Kirsten,FSV Zwickau,German Bundesliga 2,German,FOR,16,1967-10-18,28,48.12
Oleg,Karavajev,FSV Zwickau,German Bundesliga 2,Latvian,GK,12,1961-01-13,35,45.67
Hans-Uwe,Pilz,FSV Zwickau,German Bundesliga 2,German,DM,21,1958-11-10,37,44.67
Rene,Groth,FSV Zwickau,German Bundesliga 2,German,DM,20,1972-06-09,24,47.58
Rico,Glaubitz,FSV Zwickau,German Bundesliga 2,German,LM,24,1973-04-10,23,50.0
Gabriel,Bertalan,FSV Zwickau,German Bundesliga 2,Swedish,FOR,23,1963-01-01,33,48.12
Peter,Keller,FSV Zwickau,German Bundesliga 2,German,DM,4,1961-06-22,35,49.92
Sirko,Pohl,FSV Zwickau,German Bundesliga 2,German,RM,2,1972-02-19,24,50.79
Jens,Härtel,FSV Zwickau,German Bundesliga 2,German,CD,15,1969-06-07,27,49.46
Marcus,Wieland,FSV Zwickau,German Bundesliga 2,German,DM,18,1974-08-29,21,48.79
Rene,Troche,FSV Zwickau,German Bundesliga 2,German,DM,19,1977-11-20,18,48.46
Carsten,Klee,FSV Zwickau,German Bundesliga 2,German,FOR,25,1970-09-15,25,47.92
Bernd,Tipold,FSV Zwickau,German Bundesliga 2,German,CD,17,1959-07-31,36,47.58
Andy,Rhodes,Airdrie,Scottish First Division,English,GK,1,1964-08-23,31,45.38
John,Davies,Airdrie,Scottish First Division,Scottish,RM,8,1966-09-25,29,48.38
Gordon,Connolly,Airdrie,Scottish First Division,Scottish,AM,7,1967-09-20,28,47.46
Peter,Hetherston,Airdrie,Scottish First Division,Scottish,DM,6,1964-11-06,31,38.75
Jimmy,Boyle,Airdrie,Scottish First Division,Scottish,RB,2,1967-02-19,29,47.83
Sandy,Stewart,Airdrie,Scottish First Division,Scottish,LB,3,1965-10-14,30,47.25
Steve,Cooper,Airdrie,Scottish First Division,Scottish,FOR,10,1964-06-22,32,49.25
Sean,Sweeney,Airdrie,Scottish First Division,Scottish,CD,5,1969-08-17,26,44.79
Paul,Jack,Airdrie,Scottish First Division,Scottish,CD,4,1965-05-15,31,45.83
Tony,Smith,Airdrie,Scottish First Division,Scottish,LM,11,1973-10-28,22,43.67
Paul,Harvey,Airdrie,Scottish First Division,Scottish,FOR,9,1968-08-28,27,49.5
Jimmy,Sandison,Airdrie,Scottish First Division,Scottish,CD,14,1965-06-22,31,46.33
Kenny,Black,Airdrie,Scottish First Division,Scottish,AM,12,1963-11-29,32,48.04
John,Martin,Airdrie,Scottish First Division,Scottish,GK,13,1974-01-30,22,45.5
Stephen,Tait,Airdrie,Scottish First Division,Scottish,CD,19,1976-10-15,19,43.92
Marvyn,Wilson,Airdrie,Scottish First Division,Scottish,DM,20,1973-12-01,22,45.88
Billy,McCullough,Airdrie,Scottish First Division,Scottish,GK,15,1973-04-02,23,45.79
Tommy,McIntyre,Airdrie,Scottish First Division,Scottish,CD,18,1965-12-29,30,46.96
Graham,Hay,Airdrie,Scottish First Division,Scottish,CD,16,1965-11-27,30,46.62
Evan,Balfour,Airdrie,Scottish First Division,Scottish,DM,17,1965-09-09,30,45.38
Derek,Crawford,Clydebank,Scottish First Division,Scottish,RB,2,1974-06-18,22,47.08
Craig,Tomlinson,Clydebank,Scottish First Division,Scottish,CD,4,1974-06-01,22,44.29
Colin,Sutherland,Clydebank,Scottish First Division,Scottish,DM,6,1975-03-15,21,45.75
Paul,Agnew,Clydebank,Scottish First Division,Scottish,DM,8,1972-06-28,24,47.54
Peter,Prior,Clydebank,Scottish First Division,Scottish,CD,5,1973-10-07,22,46.17
Ken,Eadie,Clydebank,Scottish First Division,Scottish,FOR,9,1961-02-26,35,47.17
Gary,Matthews,Clydebank,Scottish First Division,Scottish,GK,1,1970-03-15,26,44.62
Tom,Currie,Clydebank,Scottish First Division,Scottish,LB,3,1970-11-06,25,43.92
Jim,Grady,Clydebank,Scottish First Division,Scottish,FOR,10,1971-03-14,25,51.33
Graham,Connell,Clydebank,Scottish First Division,Scottish,LM,11,1974-10-31,21,48.04
Ray,Dunn,Clydebank,Scottish First Division,Scottish,RM,7,1975-12-29,20,44.08
Scott,Murdoch,Clydebank,Scottish First Division,Scottish,CD,14,1969-02-27,27,47.04
Allan,Monaghan,Clydebank,Scottish First Division,Scottish,GK,13,1972-10-06,23,42.67
Craig,Flannigan,Clydebank,Scottish First Division,Scottish,FOR,12,1973-02-11,23,50.83
Paul,Lovering,Clydebank,Scottish First Division,Scottish,CD,18,1975-11-25,20,47.46
Stephen,Jack,Clydebank,Scottish First Division,Scottish,LM,15,1971-03-27,25,45.12
Steve,Kerrigan,Clydebank,Scottish First Division,Scottish,FOR,17,1972-10-09,23,49.33
Dusan,Vrto,Dundee,Scottish First Division,Slovakian,LM,11,1965-10-29,30,45.04
Michel,Pageau,Dundee,Scottish First Division,French,GK,1,1966-08-30,29,48.08
Mike,Teasdale,Dundee,Scottish First Division,Scottish,RB,2,1969-07-28,27,47.33
Neil,McCann,Dundee,Scottish First Division,Scottish,FOR,9,1974-08-11,21,47.46
Neil,Duffy,Dundee,Scottish First Division,Scottish,RM,8,1959-04-27,37,43.83
Paul,Tosh,Dundee,Scottish First Division,Scottish,AM,7,1973-10-18,22,49.67
Gary,McKeown,Dundee,Scottish First Division,English,DM,6,1970-10-19,25,47.88
Barry,Smith,Dundee,Scottish First Division,Scottish,CD,4,1974-02-19,22,44.29
Carig,Tully,Dundee,Scottish First Division,Scottish,CD,5,1976-01-07,20,45.25
Mark,Hutchinson,Dundee,Scottish First Division,Scottish,LB,3,1973-07-13,23,47.12
Gerry,Britton,Dundee,Scottish First Division,Scottish,FOR,10,1970-10-20,25,47.08
Paul,Mathers,Dundee,Scottish First Division,Scottish,GK,13,1970-01-17,26,45.92
Kevin,Bain,Dundee,Scottish First Division,Scottish,CD,14,1972-09-19,23,43.83
Iain,Anderson,Dundee,Scottish First Division,Scottish,FOR,12,1977-07-23,19,50.54
Hugh,Robertson,Dundee,Scottish First Division,Scottish,LM,22,1975-03-19,21,49.29
David,Winnie,Dundee,Scottish First Division,Scottish,RB,21,1966-10-26,29,48.38
Ray,Farningham,Dundee,Scottish First Division,Scottish,DM,18,1961-04-10,35,48.92
James,Duffy,Dundee,Scottish First Division,Scottish,CD,16,1959-04-27,37,46.0
Tommy,McQueen,Dundee,Scottish First Division,Scottish,LB,15,1963-04-01,33,45.12
Sieb,Dykstra,Dundee U,Scottish Premier League,Czech,GK,1,1966-10-20,29,47.25
